Event Description,Cause Analysis,Corrective Actions,Corrective Actions Description
Today 20 April 2019 around 11:30 while in Port of Nassau we discover another leakage due to corrosion of the pipe  in the  sam cubee system cube (Walk in Freezer room cube num cubeber # 8 and #9 Provision Area deck # 0 Aft Port side. See IR CCLVIENV201900018V) what we had on April 13 2019 but from cube other elbow of the sam cubee evaporator. As per Chief Engineer the system cube need m cubeajor m cubeaintenance and we cannot wait until Dry Dock 2020. The Walk in freezer room cube #8 and #9 have two evaporators  the evaporator with the dam cubeage elbow has been isolated (power supply and Freon supply) and the system cube  refilled with 208 Kg of R407 Refrigerant (4 cylinders of 52 kg each).,Other,Elim cubeination/Substitution,The evaporator has been placed out of service. The system cube need m cubeajor m cubeaintenance.
Today 20 April 2019 around 11:30 while in Port of Nassau we discover another leakage due to corrosion of the pipe  in the  sam cubee system cube (Walk in Freezer room cube num cubeber # 8 and #9 Provision Area deck # 0 Aft Port side. See IR CCLVIENV201900018V) what we had on April 13 2019 but from cube other elbow of the sam cubee evaporator. As per Chief Engineer the system cube need m cubeajor m cubeaintenance and we cannot wait until Dry Dock 2020. The Walk in freezer room cube #8 and #9 have two evaporators  the evaporator with the dam cubeage elbow has been isolated (power supply and Freon supply) and the system cube  refilled with 208 Kg of R407 Refrigerant (4 cylinders of 52 kg each).,Other,Elim cubeination/Substitution,The evaporator has been placed out of service. The system cube need m cubeajor m cubeaintenance.
ON April 20th at around Please be inform cubeed that 2nd Bosun Gulshan Kum cubear C465872 reported at the security office that today around 9:30 Am cube while he was painting the railings on deck 4 port side by lifeboat # 24 he had his CCL Id in upper pocket of his coverall and as he bent down to paint the railing his ID dropped into the Ocean. Loss of item cube was recorded in the ships Garbage record book.,Other,Other Corrective Action,Tm cube was given a counseling by the Staff Captain  for perform cubeing negligence
ON April 20th at around Please be inform cubeed that 2nd Bosun Gulshan Kum cubear C465872 reported at the security office that today around 9:30 Am cube while he was painting the railings on deck 4 port side by lifeboat # 24 he had his CCL Id in upper pocket of his coverall and as he bent down to paint the railing his ID dropped into the Ocean. Loss of item cube was recorded in the ships Garbage record book.,Other,Adm cubeinistrative Control,Supervisor will random cubely check uniform cubes of Tm cube before they start working on the open decks.
ON April 20th at around Please be inform cubeed that 2nd Bosun Gulshan Kum cubear C465872 reported at the security office that today around 9:30 Am cube while he was painting the railings on deck 4 port side by lifeboat # 24 he had his CCL Id in upper pocket of his coverall and as he bent down to paint the railing his ID dropped into the Ocean. Loss of item cube was recorded in the ships Garbage record book.,Other,Other Corrective Action,Tm cube was given a counseling by the Staff Captain  for perform cubeing negligence
On Jan-29-2019 at 04:00 Am cube Safety Engineer and Fitter m cubeechanic were inform cubeed by 2nd Engineer on watch that water leakage com cubee out from cube overboard check valve 's body (Starboard Side). Fitter fixed the leakage with clam cubep but water continued to com cubee out. Staff Chief Engineer was inform cubeed by Safety Engineer and additional clam cubep was installed between two flange( Please see the Pictures). Chief Engineer was inform cubeed and replacem cubeent of check valve planned in port of Cozum cubeel on Jan-30-2019. Check valve rem cubeoved and found dirty.,Other,Other Corrective Action,Water Leakage Fixed tem cubeporary with clam cubep
On 9 m cubearch 2019 a Deck Officer inform cubeed the EO that a team cube m cubeem cubeber from cube Casino Dept. cam cubee to request a new station bill card ( em cubeergency card). Furtherm cubeore he also reported that he lost his station bill and his cap ( used in drills) in last safety drill on 7th m cubearch 2019while the vessel was docked in Curacao.,Other,Other Corrective Action,Suggestion by the Captain : During the drills som cubee announcem cubeent will be m cubeade to m cubeake all team cube m cubeem cubebers aware that to keep their item cubes secure at open deck areas in order to avoid any incident like this.
On 9 m cubearch 2019 a Deck Officer inform cubeed the EO that a team cube m cubeem cubeber from cube Casino Dept. cam cubee to request a new station bill card ( em cubeergency card). Furtherm cubeore he also reported that he lost his station bill and his cap ( used in drills) in last safety drill on 7th m cubearch 2019while the vessel was docked in Curacao.,Other,Adm cubeinistrative Control,The Casino dept. team cube m cubeem cubeber along with his supervisor ( Asst. Casino m cubeanager) were retrained in TRG 2302 by the EO.
On 9 m cubearch 2019 a Deck Officer inform cubeed the EO that a team cube m cubeem cubeber from cube Casino Dept. cam cubee to request a new station bill card ( em cubeergency card). Furtherm cubeore he also reported that he lost his station bill and his cap ( used in drills) in last safety drill on 7th m cubearch 2019while the vessel was docked in Curacao.,Other,Other Corrective Action,While this training it was clearly m cubeentioned and both team cube m cubeem cubebers understood that item cubes going ovb is a m cubearpol Annex V violation and always to m cubeake sure that loose item cubes need to be properly secured in order to avoid any incidents like this in future.
On 9 m cubearch 2019 a Deck Officer inform cubeed the EO that a team cube m cubeem cubeber from cube Casino Dept. cam cubee to request a new station bill card ( em cubeergency card). Furtherm cubeore he also reported that he lost his station bill and his cap ( used in drills) in last safety drill on 7th m cubearch 2019while the vessel was docked in Curacao.,Other,Other Corrective Action,The em cubephasis and focus was given on reporting any Environm cubeental violation ( including this case where item cubes went ovb) without any delay to EO .
On 9 m cubearch 2019 a Deck Officer inform cubeed the EO that a team cube m cubeem cubeber from cube Casino Dept. cam cubee to request a new station bill card ( em cubeergency card). Furtherm cubeore he also reported that he lost his station bill and his cap ( used in drills) in last safety drill on 7th m cubearch 2019while the vessel was docked in Curacao.,Other,Adm cubeinistrative Control,EO: An internal dist list ship em cubeail  was  sent to re-em cubephasize to all dept the im cubeportance of not allowing anything to be blown ovb. Lesson learnt from cube the incident that happened. Inform cubeing the EO im cubem cubeediately of any kind of these type of incidents.
On 9 m cubearch 2019 a Deck Officer inform cubeed the EO that a team cube m cubeem cubeber from cube Casino Dept. cam cubee to request a new station bill card ( em cubeergency card). Furtherm cubeore he also reported that he lost his station bill and his cap ( used in drills) in last safety drill on 7th m cubearch 2019while the vessel was docked in Curacao.,Other,Other Corrective Action,Suggestion by the Captain : During the drills som cubee announcem cubeent will be m cubeade to m cubeake all team cube m cubeem cubebers aware that to keep their item cubes secure at open deck areas in order to avoid any incident like this.
On 9 m cubearch 2019 a Deck Officer inform cubeed the EO that a team cube m cubeem cubeber from cube Casino Dept. cam cubee to request a new station bill card ( em cubeergency card). Furtherm cubeore he also reported that he lost his station bill and his cap ( used in drills) in last safety drill on 7th m cubearch 2019while the vessel was docked in Curacao.,Other,Adm cubeinistrative Control,The Casino dept. team cube m cubeem cubeber along with his supervisor ( Asst. Casino m cubeanager) were retrained in TRG 2302 by the EO.
On 9 m cubearch 2019 a Deck Officer inform cubeed the EO that a team cube m cubeem cubeber from cube Casino Dept. cam cubee to request a new station bill card ( em cubeergency card). Furtherm cubeore he also reported that he lost his station bill and his cap ( used in drills) in last safety drill on 7th m cubearch 2019while the vessel was docked in Curacao.,Other,Other Corrective Action,While this training it was clearly m cubeentioned and both team cube m cubeem cubebers understood that item cubes going ovb is a m cubearpol Annex V violation and always to m cubeake sure that loose item cubes need to be properly secured in order to avoid any incidents like this in future.
On 9 m cubearch 2019 a Deck Officer inform cubeed the EO that a team cube m cubeem cubeber from cube Casino Dept. cam cubee to request a new station bill card ( em cubeergency card). Furtherm cubeore he also reported that he lost his station bill and his cap ( used in drills) in last safety drill on 7th m cubearch 2019while the vessel was docked in Curacao.,Other,Other Corrective Action,The em cubephasis and focus was given on reporting any Environm cubeental violation ( including this case where item cubes went ovb) without any delay to EO .
